date,ageclass,gender,ncumul_registered,ncumul_firstvacc,ncumul_secondvacc
2021-01-20,70-79,f,25716,1311,0
2021-01-20,70-79,m,22845,1613,0
2021-01-20,80+,d,15,0,0
2021-01-20,80+,f,32638,2749,0
2021-01-20,80+,m,22835,2748,0
2021-01-20,NA,d,0,0,0
2021-01-20,NA,f,32,1,0
2021-01-20,NA,m,15,0,0
2021-01-21,0-9,d,0,0,0
2021-01-21,0-9,f,13,1,0
2021-01-21,0-9,m,4,2,0
2021-01-21,10-19,d,1,0,0
2021-01-21,10-19,f,662,30,0
2021-01-21,10-19,m,300,16,0
2021-01-21,20-29,d,1,0,0
2021-01-21,20-29,f,5401,511,0
2021-01-21,20-29,m,2745,263,0
2021-01-21,30-39,d,4,0,0
2021-01-21,30-39,f,7966,942,0
2021-01-21,30-39,m,5263,659,0
2021-01-21,40-49,d,8,0,0
2021-01-21,40-49,f,10285,949,0
2021-01-21,40-49,m,7102,651,0
2021-01-21,50-59,d,9,0,0
2021-01-21,50-59,f,15381,1192,1
2021-01-21,50-59,m,12312,876,0
2021-01-21,60-69,d,13,0,0
2021-01-21,60-69,f,17226,1031,1
2021-01-21,60-69,m,15433,1065,0
2021-01-21,70-79,d,25,0,0
2021-01-21,70-79,f,25716,1943,0
2021-01-21,70-79,m,22845,2249,0
2021-01-21,80+,d,15,0,0
2021-01-21,80+,f,32638,3940,0
2021-01-21,80+,m,22835,3599,0
2021-01-21,NA,d,0,0,0
2021-01-21,NA,f,32,1,0
2021-01-21,NA,m,15,0,0
2021-01-22,0-9,d,0,0,0
2021-01-22,0-9,f,13,1,0
2021-01-22,0-9,m,4,2,0
2021-01-22,10-19,d,1,0,0
2021-01-22,10-19,f,662,45,0
2021-01-22,10-19,m,300,20,0
2021-01-22,20-29,d,1,0,0
2021-01-22,20-29,f,5401,636,0
2021-01-22,20-29,m,2745,312,0
2021-01-22,30-39,d,4,0,0
2021-01-22,30-39,f,7966,1130,0
2021-01-22,30-39,m,5263,750,0
2021-01-22,40-49,d,8,0,0
2021-01-22,40-49,f,10285,1167,0
2021-01-22,40-49,m,7102,772,0
2021-01-22,50-59,d,9,0,0
2021-01-22,50-59,f,15381,1519,1
2021-01-22,50-59,m,12312,1084,0
2021-01-22,60-69,d,13,0,0
2021-01-22,60-69,f,17226,1270,1
2021-01-22,60-69,m,15433,1287,0
2021-01-22,70-79,d,25,0,0
2021-01-22,70-79,f,25716,2513,0
2021-01-22,70-79,m,22845,2780,0
2021-01-22,80+,d,15,0,0
2021-01-22,80+,f,32638,4817,0
2021-01-22,80+,m,22835,4323,0
2021-01-22,NA,d,0,0,0
2021-01-22,NA,f,32,2,0
2021-01-22,NA,m,15,1,0
2021-01-23,0-9,d,0,0,0
2021-01-23,0-9,f,13,1,0
2021-01-23,0-9,m,4,2,0
2021-01-23,10-19,d,1,0,0
2021-01-23,10-19,f,662,49,0
2021-01-23,10-19,m,300,22,0
2021-01-23,20-29,d,1,0,0
2021-01-23,20-29,f,5401,651,0
2021-01-23,20-29,m,2745,314,0
2021-01-23,30-39,d,4,0,0
2021-01-23,30-39,f,7966,1168,0
2021-01-23,30-39,m,5263,755,0
2021-01-23,40-49,d,8,0,0
2021-01-23,40-49,f,10285,1201,0
2021-01-23,40-49,m,7102,799,0
