date,vaccgroup_zh,ncumul_registered,ncumul_firstvacc,ncumul_secondvacc
2021-02-12,L,452,181,0
2021-02-12,M,1627,499,81
2021-02-12,N,970,289,45
2021-02-12,O,30,9,0
2021-02-12,P,0,0,0
2021-02-12,Q,0,0,0
2021-02-12,R,2,2,0
2021-02-12,S,0,0,0
2021-02-12,T,0,0,0
2021-02-12,NA,47,19,1
2021-02-13,A,85610,42208,3978
2021-02-13,B,6615,1292,785
2021-02-13,C,35915,9289,969
2021-02-13,D,23388,4944,265
2021-02-13,E,10886,2933,170
2021-02-13,F,4399,2235,1521
2021-02-13,G,32324,13201,1823
2021-02-13,H,605,397,8
2021-02-13,I,688,475,8
2021-02-13,K,692,229,0
2021-02-13,L,452,183,0
2021-02-13,M,1627,499,81
2021-02-13,N,970,289,45
2021-02-13,O,30,10,0
2021-02-13,P,0,0,0
2021-02-13,Q,0,0,0
2021-02-13,R,2,2,0
2021-02-13,S,0,0,0
2021-02-13,T,0,0,0
2021-02-13,NA,47,22,1
2021-02-14,A,85610,42210,3978
2021-02-14,B,6615,1293,785
2021-02-14,C,35915,9289,969
2021-02-14,D,23388,4945,266
2021-02-14,E,10886,2933,170
2021-02-14,F,4399,2235,1521
2021-02-14,G,32324,13201,1823
2021-02-14,H,605,397,8
2021-02-14,I,688,475,8
2021-02-14,K,692,229,0
2021-02-14,L,452,183,0
2021-02-14,M,1627,499,81
2021-02-14,N,970,289,45
2021-02-14,O,30,10,0
2021-02-14,P,0,0,0
2021-02-14,Q,0,0,0
2021-02-14,R,2,2,0
2021-02-14,S,0,0,0
2021-02-14,T,0,0,0
2021-02-14,NA,47,22,1
2021-02-15,A,85610,42824,4610
2021-02-15,B,6615,1294,843
2021-02-15,C,35915,9417,1072
2021-02-15,D,23388,5006,268
2021-02-15,E,10886,2940,171
2021-02-15,F,4399,2241,1576
2021-02-15,G,32324,13348,1823
2021-02-15,H,605,412,8
2021-02-15,I,688,483,8
2021-02-15,K,692,230,0
2021-02-15,L,452,184,0
2021-02-15,M,1627,503,103
2021-02-15,N,970,303,57
2021-02-15,O,30,10,0
2021-02-15,P,0,0,0
2021-02-15,Q,0,0,0
2021-02-15,R,2,2,0
2021-02-15,S,0,0,0
2021-02-15,T,0,0,0
2021-02-15,NA,47,22,1
