week_from,week_until,calendar_week,plz,population,ncumul_firstvacc,ncumul_secondvacc
2021-01-25,2021-01-31,4,8126,5475,315,15
2021-01-25,2021-01-31,4,8127,4094,162,5
2021-01-25,2021-01-31,4,8132,6883,296,4
2021-01-25,2021-01-31,4,8133,1915,67,1
2021-01-25,2021-01-31,4,8134,18919,466,12
2021-01-25,2021-01-31,4,8135,7781,171,4
2021-01-25,2021-01-31,4,8136,2593,93,3
2021-01-25,2021-01-31,4,8142,4661,193,1
2021-01-25,2021-01-31,4,8143,3768,123,3
2021-01-25,2021-01-31,4,8152,21091,436,8
2021-01-25,2021-01-31,4,8153,8204,242,5
2021-01-25,2021-01-31,4,8154,7205,101,3
2021-01-25,2021-01-31,4,8155,7163,200,5
2021-01-25,2021-01-31,4,8156,2152,55,0
2021-01-25,2021-01-31,4,8157,5942,346,3
2021-01-25,2021-01-31,4,8158,467,28,0
2021-01-25,2021-01-31,4,8162,3608,63,2
2021-01-25,2021-01-31,4,8164,601,30,0
2021-01-25,2021-01-31,4,8165,3909,62,1
2021-01-25,2021-01-31,4,8166,3076,49,1
2021-01-25,2021-01-31,4,8172,4997,92,1
2021-01-25,2021-01-31,4,8173,3153,85,0
2021-01-25,2021-01-31,4,8174,1535,48,1
2021-01-25,2021-01-31,4,8175,755,13,0
2021-01-25,2021-01-31,4,8180,21389,643,5
2021-01-25,2021-01-31,4,8181,2875,32,0
2021-01-25,2021-01-31,4,8182,1979,51,1
2021-01-25,2021-01-31,4,8184,4154,113,3
2021-01-25,2021-01-31,4,8185,4536,115,9
2021-01-25,2021-01-31,4,8187,1932,24,0
2021-01-25,2021-01-31,4,8192,5207,139,0
2021-01-25,2021-01-31,4,8193,5359,127,0
2021-01-25,2021-01-31,4,8194,1051,10,0
2021-01-25,2021-01-31,4,8195,560,7,1
2021-01-25,2021-01-31,4,8196,1468,22,0
2021-01-25,2021-01-31,4,8197,4659,61,2
2021-01-25,2021-01-31,4,8245,2530,52,1
2021-01-25,2021-01-31,4,8246,1088,12,0
2021-01-25,2021-01-31,4,8247,1470,28,0
2021-01-25,2021-01-31,4,8248,1575,59,0
2021-01-25,2021-01-31,4,8302,20144,516,9
2021-01-25,2021-01-31,4,8303,11826,435,5
2021-01-25,2021-01-31,4,8304,16830,333,8
2021-01-25,2021-01-31,4,8305,7849,391,2
2021-01-25,2021-01-31,4,8306,5311,118,1
2021-01-25,2021-01-31,4,8307,12268,252,1
2021-01-25,2021-01-31,4,8308,4589,83,3
2021-01-25,2021-01-31,4,8309,5611,221,2
2021-01-25,2021-01-31,4,8310,1509,26,1
2021-01-25,2021-01-31,4,8311,2061,42,1
2021-01-25,2021-01-31,4,8312,954,19,0
2021-01-25,2021-01-31,4,8314,349,5,0
2021-01-25,2021-01-31,4,8315,817,15,0
2021-01-25,2021-01-31,4,8317,2337,39,1
2021-01-25,2021-01-31,4,8320,6443,169,3
2021-01-25,2021-01-31,4,8322,994,36,0
2021-01-25,2021-01-31,4,8330,11524,263,4
2021-01-25,2021-01-31,4,8331,610,9,0
2021-01-25,2021-01-31,4,8332,3384,328,2
2021-01-25,2021-01-31,4,8335,3640,65,0
2021-01-25,2021-01-31,4,8340,10306,121,0
2021-01-25,2021-01-31,4,8342,933,18,0
2021-01-25,2021-01-31,4,8344,3778,77,1
